pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,win_deauth,win_probe,win_beacon,win_auth,gw_mac,gw_flip,label,attack_type,timestamp
45917,BEACON,-89,8,0,1699,65296,42840,3246333,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,117.2,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:28.298354
45917,BEACON,-89,8,0,1708,65296,42840,3247152,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,200.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:29.117354
45917,PROBE_REQ,-62,35,0,3057,65296,42840,3247684,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,110.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:29.649354
45917,,40,40,0,0,65236,42840,3247878,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,22,627.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:29.843354
45917,,40,40,0,0,65296,42840,3248010,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,21,328.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:29.975354
45917,,40,40,0,0,65296,42840,3248126,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,24,308.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:30.091354
45917,,40,40,0,0,65296,42840,3248230,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,45,568.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:30.195354
45917,,-55,42,0,1036,65296,42840,3248287,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,39,1080.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:30.252354
45917,BEACON,-68,29,82,3826,65296,42840,3248368,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,5,298.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:30.333354
45917,,40,40,0,0,65296,42840,3248461,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,15,2393.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:30.426354
45917,BEACON,-89,8,0,1724,65296,42840,3248688,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,6,202.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:30.653354
